Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified,Date,Latitude,Longitude
BL0,NO,2018-07-15,2.0,ug m-3,R,2018-07-15,51.522287,-0.125848
BL0,NO,2018-07-16,3.3,ug m-3,R,2018-07-16,51.522287,-0.125848
BL0,NO,2018-07-17,2.3,ug m-3,R,2018-07-17,51.522287,-0.125848
BL0,NO,2018-07-18,2.6,ug m-3,R,2018-07-18,51.522287,-0.125848
BL0,NO,2018-07-19,4.1,ug m-3,R,2018-07-19,51.522287,-0.125848
BL0,NO,2018-07-20,3.0,ug m-3,R,2018-07-20,51.522287,-0.125848
BL0,NO,2018-07-21,2.1,ug m-3,R,2018-07-21,51.522287,-0.125848
BL0,NO,2018-07-22,2.2,ug m-3,R,2018-07-22,51.522287,-0.125848
BL0,NO,2018-07-23,2.5,ug m-3,R,2018-07-23,51.522287,-0.125848
BL0,NO,2018-07-24,2.3,ug m-3,R,2018-07-24,51.522287,-0.125848
BL0,NO,2018-07-25,6.5,ug m-3,R,2018-07-25,51.522287,-0.125848
BL0,NO,2018-07-26,6.8,ug m-3,R,2018-07-26,51.522287,-0.125848
BL0,NO,2018-07-27,4.4,ug m-3,R,2018-07-27,51.522287,-0.125848
BL0,NO,2018-07-28,1.4,ug m-3,R,2018-07-28,51.522287,-0.125848
BL0,NO,2018-07-29,1.8,ug m-3,R,2018-07-29,51.522287,-0.125848
BL0,NO,2018-07-30,2.9,ug m-3,R,2018-07-30,51.522287,-0.125848
BL0,NO,2018-07-31,2.4,ug m-3,R,2018-07-31,51.522287,-0.125848
BL0,NO,2018-08-01,3.9,ug m-3,R,2018-08-01,51.522287,-0.125848
BL0,NO,2018-08-02,2.6,ug m-3,R,2018-08-02,51.522287,-0.125848
BL0,NO,2018-08-03,5.6,ug m-3,R,2018-08-03,51.522287,-0.125848
BL0,NO,2018-08-04,4.7,ug m-3,R,2018-08-04,51.522287,-0.125848
BL0,NO,2018-08-05,1.8,ug m-3,R,2018-08-05,51.522287,-0.125848
BL0,NO,2018-08-06,1.8,ug m-3,R,2018-08-06,51.522287,-0.125848
BL0,NO,2018-08-07,1.8,ug m-3,R,2018-08-07,51.522287,-0.125848
BL0,NO,2018-08-08,1.8,ug m-3,R,2018-08-08,51.522287,-0.125848
BL0,NO,2018-08-09,8.2,ug m-3,R,2018-08-09,51.522287,-0.125848
BL0,NO,2018-08-10,4.8,ug m-3,R,2018-08-10,51.522287,-0.125848
BL0,NO,2018-08-11,4.3,ug m-3,R,2018-08-11,51.522287,-0.125848
BL0,NO,2018-08-12,1.3,ug m-3,R,2018-08-12,51.522287,-0.125848
BL0,NO,2018-08-13,4.6,ug m-3,R,2018-08-13,51.522287,-0.125848
BL0,NO,2018-08-14,5.4,ug m-3,R,2018-08-14,51.522287,-0.125848
BL0,NO,2018-08-15,1.9,ug m-3,R,2018-08-15,51.522287,-0.125848
BL0,NO,2018-08-16,3.65,ug m-3,R,2018-08-16,51.522287,-0.125848
BL0,NO,2018-08-17,5.4,ug m-3,R,2018-08-17,51.522287,-0.125848
BL0,NO,2018-08-18,1.7,ug m-3,R,2018-08-18,51.522287,-0.125848
BL0,NO,2018-08-19,1.7,ug m-3,R,2018-08-19,51.522287,-0.125848
BL0,NO,2018-08-20,3.9,ug m-3,R,2018-08-20,51.522287,-0.125848
BL0,NO,2018-08-21,2.9,ug m-3,R,2018-08-21,51.522287,-0.125848
BL0,NO,2018-08-22,3.0,ug m-3,R,2018-08-22,51.522287,-0.125848
BL0,NO,2018-08-23,4.6,ug m-3,R,2018-08-23,51.522287,-0.125848
BL0,NO,2018-08-24,3.3,ug m-3,R,2018-08-24,51.522287,-0.125848
BL0,NO,2018-08-25,6.3,ug m-3,R,2018-08-25,51.522287,-0.125848
BL0,NO,2018-08-26,3.8,ug m-3,R,2018-08-26,51.522287,-0.125848
BL0,NO,2018-08-27,1.6,ug m-3,R,2018-08-27,51.522287,-0.125848
BL0,NO,2018-08-28,2.6,ug m-3,R,2018-08-28,51.522287,-0.125848
BL0,NO,2018-08-29,9.7,ug m-3,R,2018-08-29,51.522287,-0.125848
BL0,NO,2018-08-30,6.9,ug m-3,R,2018-08-30,51.522287,-0.125848
