Date,NO2_weighted_value(ug m-3)
2019-09-20,42.9
2019-09-21,49.9
2019-09-22,44.2
2019-09-23,34.0
2019-09-24,41.2
2019-09-25,40.0
2019-09-26,43.3
2019-09-27,42.1
2019-09-28,36.4
2019-09-29,28.3
2019-09-30,42.4
2019-10-01,51.7
2019-10-02,51.9
2019-10-03,47.0
2019-10-04,51.1
2019-10-05,41.0
2019-10-06,32.7
2019-10-07,50.5
2019-10-08,49.7
2019-10-09,42.1
2019-10-10,42.7
2019-10-11,42.6
2019-10-12,54.1
2019-10-13,45.8
2019-10-14,44.8
2019-10-15,46.1
2019-10-16,56.0
2019-10-17,49.3
2019-10-18,44.9
2019-10-19,52.1
2019-10-20,49.6
2019-10-21,50.0
2019-10-22,58.9
2019-10-23,54.9
2019-10-24,56.2
2019-10-25,34.0
2019-10-26,32.1
2019-10-27,48.5
2019-10-28,58.1
2019-10-29,41.7
2019-10-30,41.4
2019-10-31,42.8
2019-11-01,47.9
2019-11-02,32.8
2019-11-03,51.1
2019-11-04,53.1
2019-11-05,58.2
2019-11-06,53.3
2019-11-07,52.5
2019-11-08,62.7
2019-11-09,44.6
2019-11-10,51.5
2019-11-11,47.9
2019-11-12,49.6
2019-11-13,52.7
2019-11-14,55.6
2019-11-15,56.4
2019-11-16,48.3
2019-11-17,66.8
2019-11-18,60.8
2019-11-19,69.6
2019-11-20,54.1
2019-11-21,40.9
2019-11-22,51.2
2019-11-23,42.8
2019-11-24,45.7
2019-11-25,45.2
2019-11-26,46.2
2019-11-27,59.1
2019-11-28,49.4
2019-11-29,67.0
2019-11-30,61.0
2019-12-01,55.9
2019-12-02,72.4
2019-12-03,74.5
2019-12-04,76.9
2019-12-05,63.9
2019-12-06,47.1
2019-12-07,51.6
2019-12-08,38.0
2019-12-09,46.5
2019-12-10,42.8
2019-12-11,62.5
2019-12-12,53.6
2019-12-13,45.5
2019-12-14,48.7
2019-12-15,41.7
2019-12-16,61.2
2019-12-17,69.8
2019-12-18,51.2
2019-12-19,33.6
2019-12-20,65.1
2019-12-21,44.2
2019-12-22,46.6
2019-12-23,50.8
2019-12-24,44.5
2019-12-25,44.5
2019-12-26,40.1
2019-12-27,52.6
2019-12-28,42.9
2019-12-29,38.8
2019-12-30,50.5
2019-12-31,41.3
2020-01-01,46.4
