Date,NO2_weighted_value(ug m-3)
2020-11-12,66.8
2020-11-13,62.3
2020-11-14,27.5
2020-11-15,19.6
2020-11-16,35.1
2020-11-17,35.3
2020-11-18,34.1
2020-11-19,47.6
2020-11-20,52.8
2020-11-21,25.7
2020-11-22,45.6
2020-11-23,58.9
2020-11-24,40.6
2020-11-25,42.2
2020-11-26,59.6
2020-11-27,58.9
2020-11-28,51.2
2020-11-29,48.6
2020-11-30,39.2
2020-12-01,41.3
2020-12-02,56.0
2020-12-03,54.5
2020-12-04,44.7
2020-12-05,31.5
2020-12-06,38.2
2020-12-07,55.8
2020-12-08,60.1
2020-12-09,49.4
2020-12-10,32.0
2020-12-11,60.1
2020-12-12,42.8
2020-12-13,28.2
2020-12-14,38.5
2020-12-15,46.8
2020-12-16,43.6
2020-12-17,34.3
2020-12-18,25.7
2020-12-19,23.0
2020-12-20,21.4
2020-12-21,25.1
2020-12-22,45.3
2020-12-23,38.5
2020-12-24,17.9
2020-12-25,18.6
2020-12-26,20.9
2020-12-27,26.0
2020-12-28,35.9
2020-12-29,39.7
2020-12-30,50.7
2020-12-31,51.9
2021-01-01,35.3
2021-01-02,30.5
2021-01-03,19.4
2021-01-04,21.8
2021-01-05,24.0
2021-01-06,27.7
2021-01-07,51.8
2021-01-08,48.0
2021-01-09,50.7
2021-01-10,38.4
2021-01-11,33.1
2021-01-12,48.4
2021-01-13,53.5
2021-01-14,38.6
2021-01-15,49.3
2021-01-16,46.9
2021-01-17,42.8
2021-01-18,44.3
2021-01-19,27.8
2021-01-20,25.3
2021-01-21,39.5
2021-01-22,49.6
2021-01-23,52.9
2021-01-24,46.0
2021-01-25,53.9
2021-01-26,55.7
2021-01-27,55.4
2021-01-28,36.0
2021-01-29,37.6
2021-01-30,24.1
2021-01-31,25.5
2021-02-01,38.4
2021-02-02,46.9
2021-02-03,53.3
2021-02-04,48.7
2021-02-05,52.7
2021-02-06,35.5
2021-02-07,12.1
2021-02-08,24.8
2021-02-09,26.3
2021-02-10,29.8
2021-02-11,34.3
2021-02-12,28.5
2021-02-13,21.4
2021-02-14,24.5
2021-02-15,45.9
2021-02-16,38.4
2021-02-17,34.6
2021-02-18,32.7
2021-02-19,33.3
2021-02-20,25.9
2021-02-21,39.0
2021-02-22,59.4
2021-02-23,33.2
2021-02-24,35.6
2021-02-25,58.7
