Date,NO2_weighted_value(ug m-3)
2020-06-07,14.2
2020-06-08,10.8
2020-06-09,15.8
2020-06-10,17.1
2020-06-11,13.6
2020-06-12,21.8
2020-06-13,19.8
2020-06-14,13.5
2020-06-15,20.5
2020-06-16,15.1
2020-06-17,29.7
2020-06-18,17.4
2020-06-19,11.6
2020-06-20,10.3
2020-06-21,10.9
2020-06-22,12.9
2020-06-23,21.0
2020-06-24,37.1
2020-06-25,33.0
2020-06-26,22.4
2020-06-27,6.8
2020-06-28,6.4
2020-06-29,10.3
2020-06-30,15.4
2020-07-01,14.6
2020-07-02,19.1
2020-07-03,12.7
2020-07-04,8.1
2020-07-05,5.3
2020-07-06,13.8
2020-07-07,20.6
2020-07-08,17.2
2020-07-09,12.4
2020-07-10,17.3
2020-07-11,15.1
2020-07-12,21.7
2020-07-13,16.8
2020-07-14,14.0
2020-07-15,16.2
2020-07-16,16.4
2020-07-17,17.9
2020-07-18,10.3
2020-07-19,8.2
2020-07-20,9.6
2020-07-21,14.8
2020-07-22,11.7
2020-07-23,14.3
2020-07-24,12.8
2020-07-25,7.5
2020-07-26,6.2
2020-07-27,7.7
2020-07-28,11.2
2020-07-29,17.0
2020-07-30,25.0
2020-07-31,28.7
2020-08-01,8.1
2020-08-02,7.6
2020-08-03,11.3
2020-08-04,12.6
2020-08-05,8.4
2020-08-06,14.7
2020-08-07,48.0
2020-08-08,35.0
2020-08-09,10.5
2020-08-10,21.9
2020-08-11,35.4
2020-08-12,33.8
2020-08-13,14.9
2020-08-14,12.8
2020-08-15,19.4
2020-08-16,18.3
2020-08-17,18.2
2020-08-18,9.6
2020-08-19,15.1
2020-08-20,10.8
2020-08-21,5.3
2020-08-22,5.2
2020-08-23,7.3
2020-08-24,12.2
2020-08-25,4.6
2020-08-26,11.6
2020-08-27,16.8
2020-08-28,13.2
2020-08-29,9.4
2020-08-30,5.2
2020-08-31,17.3
2020-09-01,31.6
2020-09-02,23.2
2020-09-03,25.475
2020-09-04,18.0
