Date,NO2_weighted_value(ug m-3)
2021-04-26,7.4
2021-04-27,37.6
2021-04-28,17.9
2021-04-29,15.5
2021-04-30,20.6
2021-05-01,16.5
2021-05-02,21.1
2021-05-03,10.6
2021-05-04,8.7
2021-05-05,16.8
2021-05-06,22.4
2021-05-07,16.7
2021-05-08,13.8
2021-05-09,12.5
2021-05-10,13.0
2021-05-11,21.0
2021-05-12,15.3
2021-05-13,25.4
2021-05-14,17.7
2021-05-15,17.0
2021-05-16,12.2
2021-05-17,18.1
2021-05-18,21.5
2021-05-19,18.7
2021-05-20,16.7
2021-05-21,8.8
2021-05-22,12.1
2021-05-23,10.4
2021-05-24,13.8
2021-05-25,14.7
2021-05-26,19.3
2021-05-27,20.5
2021-05-28,30.4
2021-05-29,13.4
2021-05-30,6.9
2021-05-31,11.2
2021-06-01,16.6
2021-06-02,29.1
2021-06-03,13.9
2021-06-04,19.4
2021-06-05,13.0
2021-06-06,16.7
2021-06-07,17.6
2021-06-08,18.3
2021-06-09,17.4
2021-06-10,15.1
2021-06-11,10.9
2021-06-12,11.3
2021-06-13,14.0
