Date,PM25_weighted_value(ug m-3)
2019-12-15,5.3
2019-12-16,7.9
2019-12-17,12.4
2019-12-18,9.9
2019-12-19,10.9
2019-12-20,7.0
2019-12-21,5.6
2019-12-22,7.6
2019-12-23,8.2
2019-12-24,7.6
2019-12-25,8.4
2019-12-26,7.3
2019-12-27,13.6
2019-12-28,17.2
2019-12-29,18.2
2019-12-30,22.4
2019-12-31,20.9
2020-01-01,36.2
2020-01-02,9.0
2020-01-03,5.5
2020-01-04,8.8
2020-01-05,6.4
2020-01-06,8.4
2020-01-07,7.8
2020-01-08,11.7
2020-01-09,6.7
2020-01-10,7.7
2020-01-11,5.8
2020-01-12,4.6
2020-01-13,4.7
2020-01-14,5.2
2020-01-15,6.5
2020-01-16,8.1
2020-01-17,7.2
2020-01-18,8.9
2020-01-19,10.9
2020-01-20,30.3
2020-01-21,32.8
2020-01-22,23.5
2020-01-23,14.9
2020-01-24,18.6
2020-01-25,22.3
2020-01-26,14.9
2020-01-27,11.95
2020-01-28,8.333333333333334
2020-01-29,9.733333333333333
2020-01-30,6.8
2020-01-31,4.3
2020-02-01,6.9
2020-02-02,8.1
2020-02-03,7.5
2020-02-04,4.5
2020-02-05,16.5
2020-02-06,20.6
2020-02-07,23.7
2020-02-08,8.2
2020-02-09,2.9
2020-02-10,5.1
2020-02-11,5.3
2020-02-12,6.3
2020-02-13,6.3
2020-02-14,9.4
2020-02-15,2.6
2020-02-16,2.0
2020-02-17,6.7
2020-02-18,5.7
2020-02-19,7.1
2020-02-20,3.6
2020-02-21,6.9
2020-02-22,6.5
2020-02-23,2.6
2020-02-24,3.6
2020-02-25,4.8
2020-02-26,4.6
2020-02-27,4.6
2020-02-28,6.4
2020-02-29,7.4
2020-03-01,4.7
2020-03-02,4.3
2020-03-03,8.6
2020-03-04,9.5
2020-03-05,7.3
2020-03-06,10.5
2020-03-07,13.4
2020-03-08,5.0
2020-03-09,6.7
2020-03-10,3.8
2020-03-11,3.4
2020-03-12,5.6
2020-03-13,6.9
2020-03-14,4.5
2020-03-15,3.9
2020-03-16,7.5
2020-03-17,6.0
2020-03-18,6.8
2020-03-19,7.7
2020-03-20,2.3
2020-03-21,5.1
2020-03-22,8.0
2020-03-23,11.4
2020-03-24,11.4
2020-03-25,20.9
2020-03-26,26.5
2020-03-27,26.4
2020-03-28,11.6
2020-03-29,3.5
2020-03-30,3.3
2020-03-31,5.8
2020-04-01,7.6
2020-04-02,5.4
2020-04-03,7.1
2020-04-04,10.5
2020-04-05,9.1
2020-04-06,5.7
2020-04-07,12.9
2020-04-08,35.2
2020-04-09,42.0
2020-04-10,28.6
2020-04-11,21.7
2020-04-12,18.2
2020-04-13,4.6
2020-04-14,5.7
2020-04-15,17.1
2020-04-16,34.2
2020-04-17,8.1
2020-04-18,12.1
2020-04-19,9.3
2020-04-20,8.4
2020-04-21,9.8
2020-04-22,12.8
2020-04-23,18.9
2020-04-24,19.4
2020-04-25,10.5
2020-04-26,11.1
2020-04-27,15.5
2020-04-28,4.3
2020-04-29,5.4
2020-04-30,2.4
2020-05-01,3.7
2020-05-02,3.2
2020-05-03,5.9
2020-05-04,7.4
2020-05-05,4.4
2020-05-06,9.1
2020-05-07,13.9
2020-05-08,14.2
2020-05-09,24.6
2020-05-10,11.8
2020-05-11,2.2
2020-05-12,3.8
2020-05-13,3.3
2020-05-14,3.0
2020-05-15,6.3
2020-05-16,5.6
2020-05-17,6.7
2020-05-18,6.1
2020-05-19,5.4
2020-05-20,6.9
2020-05-21,8.5
2020-05-22,8.2
2020-05-23,4.5
2020-05-24,5.0
2020-05-25,8.1
2020-05-26,6.1
2020-05-27,6.6
2020-05-28,4.6
2020-05-29,5.6
2020-05-30,7.5
2020-05-31,5.7
2020-06-01,6.4
2020-06-02,6.8
2020-06-03,9.6
2020-06-04,3.4
2020-06-05,2.8
2020-06-06,4.2
2020-06-07,4.0
2020-06-08,3.8
2020-06-09,6.2
2020-06-10,8.8
2020-06-11,9.8
2020-06-12,16.9
2020-06-13,7.1
2020-06-14,9.5
2020-06-15,6.4
2020-06-16,6.2
2020-06-17,7.6
2020-06-18,5.5
2020-06-19,5.3
2020-06-20,4.4
2020-06-21,4.3
2020-06-22,6.1
2020-06-23,7.9
2020-06-24,14.3
2020-06-25,14.1
2020-06-26,13.5
2020-06-27,4.3
2020-06-28,2.8
2020-06-29,3.8
2020-06-30,3.5
2020-07-01,3.8
2020-07-02,5.1
2020-07-03,7.2
2020-07-04,4.9
2020-07-05,5.0
2020-07-06,5.5
2020-07-07,7.5
2020-07-08,5.0
2020-07-09,5.6
2020-07-10,2.8
2020-07-11,4.9
2020-07-12,7.8
2020-07-13,6.4
2020-07-14,5.2
2020-07-15,4.4
2020-07-16,3.6
2020-07-17,7.8
2020-07-18,5.4
2020-07-19,3.5
2020-07-20,3.7
2020-07-21,4.3
2020-07-22,7.8
2020-07-23,7.2
2020-07-24,6.2
2020-07-25,5.3
2020-07-26,4.9
2020-07-27,5.4
2020-07-28,7.300000000000001
2020-07-29,7.75
2020-07-30,8.75
2020-07-31,15.5
2020-08-01,6.0
2020-08-02,5.1
2020-08-03,4.7
2020-08-04,7.3
2020-08-05,4.8
2020-08-06,6.3
