TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount
20240101,Monday,Warren Street,5559,5494
20240101,Monday,Warwick Avenue,1810,2108
20240101,Monday,Waterloo,42032,42504
20240101,Monday,Watford High Street,773,815
20240101,Monday,Watford Junction,1708,1703
20240101,Monday,Watford Met,801,948
20240101,Monday,Wembley Central,3764,3813
20240101,Monday,Wembley Park,11871,12082
20240101,Monday,West Acton,512,614
20240101,Monday,West Brompton,3212,2476
20240101,Monday,West Croydon,1916,1923
20240101,Monday,West Drayton,2147,2168
20240101,Monday,West Ealing,1647,1682
20240101,Monday,West Finchley,607,646
20240101,Monday,West Ham,1976,1932
20240101,Monday,West Hampstead,3997,3933
20240101,Monday,West Hampstead LO,2452,2210
20240101,Monday,West Harrow,568,523
20240101,Monday,West India Quay,738,648
20240101,Monday,West Kensington,2613,2658
20240101,Monday,West Ruislip,801,677
20240101,Monday,Westbourne Park,2079,2064
20240101,Monday,Westferry,1939,1701
20240101,Monday,Westminster,30777,29552
20240101,Monday,White City,6897,7554
20240101,Monday,White Hart Lane,860,926
20240101,Monday,Whitechapel,13234,13498
20240101,Monday,Willesden Green,3645,3923
20240101,Monday,Willesden Junction,2262,2763
20240101,Monday,Wimbledon,7685,7639
20240101,Monday,Wimbledon Park,1052,1107
20240101,Monday,Wood Green,6782,7431
20240101,Monday,Wood Lane,4045,4504
20240101,Monday,Wood Street,909,933
20240101,Monday,Woodford,2315,2487
20240101,Monday,Woodgrange Park,442,471
20240101,Monday,Woodside Park,1343,1225
20240101,Monday,Woolwich Arsenal DLR,3694,4190
20240101,Monday,Woolwich Arsenal NR,681,627
20240101,Monday,Woolwich EL,8577,8972
20240102,Tuesday,Abbey Road DLR,689,661
20240102,Tuesday,Abbey Wood,11470,10743
20240102,Tuesday,Acton Central,1001,1022
20240102,Tuesday,Acton Main Line,2377,1921
20240102,Tuesday,Acton Town,5253,5485
20240102,Tuesday,Aldgate,8417,9099
20240102,Tuesday,Aldgate East,13821,13161
20240102,Tuesday,All Saints,1022,954
