TravelDate,DayOFWeek,Station,EntryTapCount,ExitTapCount,Borough,LINES,NETWORK,Zone,x,y
20210115,Friday,Monument,1653,1740,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210115,Friday,Moorgate,3635,3690,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210116,Saturday,Aldgate,647,920,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210116,Saturday,Bank,1283,1921,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210116,Saturday,Barbican,645,683,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210116,Saturday,Blackfriars,705,731,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210116,Saturday,Chancery Lane,732,786,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210116,Saturday,Liverpool Street,4533,4947,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210116,Saturday,Liverpool Street,4533,4947,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210116,Saturday,Liverpool Street,4533,4947,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210116,Saturday,Mansion House,189,175,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210116,Saturday,Monument,559,682,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210116,Saturday,Moorgate,1220,1369,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210117,Sunday,Aldgate,512,640,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210117,Sunday,Bank,919,1259,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210117,Sunday,Barbican,417,495,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210117,Sunday,Blackfriars,645,476,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210117,Sunday,Chancery Lane,434,492,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210117,Sunday,Liverpool Street,3007,3380,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210117,Sunday,Liverpool Street,3007,3380,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210117,Sunday,Liverpool Street,3007,3380,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210117,Sunday,Mansion House,149,124,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210117,Sunday,Monument,440,549,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210117,Sunday,Moorgate,728,848,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210118,Monday,Aldgate,1654,2136,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210118,Monday,Bank,3314,3526,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210118,Monday,Barbican,1733,1867,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210118,Monday,Blackfriars,2028,1914,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210118,Monday,Chancery Lane,2475,2892,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210118,Monday,Liverpool Street,10931,12229,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210118,Monday,Liverpool Street,10931,12229,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210118,Monday,Liverpool Street,10931,12229,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210118,Monday,Mansion House,586,648,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210118,Monday,Monument,1534,1775,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210118,Monday,Moorgate,3739,4069,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20210119,Tuesday,Aldgate,1739,2159,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20210119,Tuesday,Bank,3463,3655,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20210119,Tuesday,Barbican,1720,1862,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20210119,Tuesday,Blackfriars,1867,2212,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20210119,Tuesday,Chancery Lane,2530,2832,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20210119,Tuesday,Liverpool Street,11035,12456,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20210119,Tuesday,Liverpool Street,11035,12456,City of London,,London Overground,1.0,-0.080013644,51.51752768
20210119,Tuesday,Liverpool Street,11035,12456,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20210119,Tuesday,Mansion House,656,664,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20210119,Tuesday,Monument,1499,1689,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20210119,Tuesday,Moorgate,3634,4440,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
