TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount,Borough
20240208,Thursday,Cannon Street,9532,8584,City of London
20240208,Thursday,Chancery Lane,17453,19332,City of London
20240208,Thursday,Liverpool Street,103916,105314,City of London
20240208,Thursday,Mansion House,8930,10225,City of London
20240208,Thursday,Monument,17588,16777,City of London
20240208,Thursday,Moorgate,49988,54357,City of London
20240209,Friday,Aldgate,8939,10709,City of London
20240209,Friday,Bank,36431,38998,City of London
20240209,Friday,Barbican,7984,7978,City of London
20240209,Friday,Blackfriars,13875,13314,City of London
20240209,Friday,Cannon Street,5646,5120,City of London
20240209,Friday,Chancery Lane,10952,12028,City of London
20240209,Friday,Liverpool Street,79178,80013,City of London
20240209,Friday,Mansion House,5087,5886,City of London
20240209,Friday,Monument,11728,10943,City of London
20240209,Friday,Moorgate,29125,32697,City of London
20240210,Saturday,Aldgate,6240,7916,City of London
20240210,Saturday,Bank,17026,19756,City of London
20240210,Saturday,Barbican,4686,4954,City of London
20240210,Saturday,Blackfriars,10728,9785,City of London
20240210,Saturday,Cannon Street,3243,2817,City of London
20240210,Saturday,Chancery Lane,4932,5131,City of London
20240210,Saturday,Liverpool Street,71211,71606,City of London
20240210,Saturday,Mansion House,3410,3774,City of London
20240210,Saturday,Monument,11368,10332,City of London
20240210,Saturday,Moorgate,12943,15087,City of London
20240211,Sunday,Aldgate,4728,6046,City of London
20240211,Sunday,Bank,11529,13620,City of London
20240211,Sunday,Barbican,3665,3772,City of London
20240211,Sunday,Blackfriars,7558,6625,City of London
20240211,Sunday,Cannon Street,1998,1479,City of London
20240211,Sunday,Chancery Lane,2758,2818,City of London
20240211,Sunday,Liverpool Street,46664,47025,City of London
20240211,Sunday,Mansion House,2614,2436,City of London
20240211,Sunday,Monument,9273,7832,City of London
20240211,Sunday,Moorgate,9059,10101,City of London
20240212,Monday,Aldgate,10064,11775,City of London
20240212,Monday,Bank,43519,47457,City of London
20240212,Monday,Barbican,7696,7745,City of London
20240212,Monday,Blackfriars,16170,15735,City of London
20240212,Monday,Cannon Street,6552,5997,City of London
20240212,Monday,Chancery Lane,11562,12512,City of London
20240212,Monday,Liverpool Street,79108,80997,City of London
20240212,Monday,Mansion House,6814,6857,City of London
20240212,Monday,Monument,15788,13743,City of London
20240212,Monday,Moorgate,34297,37496,City of London
20240213,Tuesday,Aldgate,8684,14291,City of London
20240213,Tuesday,Bank,61311,64382,City of London
20240213,Tuesday,Barbican,7411,9450,City of London
20240213,Tuesday,Blackfriars,19866,18944,City of London
20240213,Tuesday,Cannon Street,8555,7600,City of London
20240213,Tuesday,Chancery Lane,16127,16783,City of London
20240213,Tuesday,Liverpool Street,98709,98184,City of London
20240213,Tuesday,Mansion House,8656,9331,City of London
20240213,Tuesday,Monument,18669,17176,City of London
20240213,Tuesday,Moorgate,46211,50306,City of London
20240214,Wednesday,Aldgate,12577,14547,City of London
20240214,Wednesday,Bank,57409,61227,City of London
20240214,Wednesday,Barbican,9133,9427,City of London
20240214,Wednesday,Blackfriars,18944,18070,City of London
20240214,Wednesday,Cannon Street,8312,7103,City of London
20240214,Wednesday,Chancery Lane,14268,15126,City of London
20240214,Wednesday,Liverpool Street,96351,97871,City of London
20240214,Wednesday,Mansion House,7894,8686,City of London
20240214,Wednesday,Monument,18210,16993,City of London
20240214,Wednesday,Moorgate,42655,47536,City of London
20240215,Thursday,Aldgate,13122,15411,City of London
20240215,Thursday,Bank,61048,65842,City of London
20240215,Thursday,Barbican,10162,10516,City of London
20240215,Thursday,Blackfriars,20114,19490,City of London
20240215,Thursday,Cannon Street,8657,7492,City of London
20240215,Thursday,Chancery Lane,14441,16376,City of London
20240215,Thursday,Liverpool Street,102147,104444,City of London
20240215,Thursday,Mansion House,8755,9556,City of London
20240215,Thursday,Monument,19580,18216,City of London
20240215,Thursday,Moorgate,45422,50150,City of London
20240216,Friday,Aldgate,8770,9786,City of London
20240216,Friday,Bank,37864,41821,City of London
20240216,Friday,Barbican,7700,7532,City of London
20240216,Friday,Blackfriars,14658,14415,City of London
20240216,Friday,Cannon Street,5582,5048,City of London
20240216,Friday,Chancery Lane,10235,11153,City of London
20240216,Friday,Liverpool Street,83003,82243,City of London
20240216,Friday,Mansion House,5731,6215,City of London
20240216,Friday,Monument,14198,13341,City of London
20240216,Friday,Moorgate,27758,30902,City of London
20240217,Saturday,Aldgate,7351,8404,City of London
20240217,Saturday,Bank,16275,18722,City of London
20240217,Saturday,Barbican,5249,5375,City of London
20240217,Saturday,Blackfriars,14594,14234,City of London
20240217,Saturday,Cannon Street,5286,4546,City of London
20240217,Saturday,Chancery Lane,4786,4587,City of London
20240217,Saturday,Liverpool Street,75435,75649,City of London
20240217,Saturday,Mansion House,3588,3844,City of London
20240217,Saturday,Monument,12338,10736,City of London
20240217,Saturday,Moorgate,14367,16821,City of London
20240218,Sunday,Aldgate,3138,2786,City of London
20240218,Sunday,Bank,9803,11613,City of London
20240218,Sunday,Barbican,4176,4197,City of London
20240218,Sunday,Blackfriars,10222,9521,City of London
20240218,Sunday,Cannon Street,3544,3199,City of London
20240218,Sunday,Chancery Lane,2962,3170,City of London
20240218,Sunday,Liverpool Street,39807,40019,City of London
20240218,Sunday,Mansion House,2396,2406,City of London
20240218,Sunday,Monument,7892,7398,City of London
20240218,Sunday,Moorgate,8467,9099,City of London
20240219,Monday,Aldgate,9578,10478,City of London
20240219,Monday,Bank,43975,46003,City of London
20240219,Monday,Barbican,8066,8428,City of London
20240219,Monday,Blackfriars,15898,15343,City of London
20240219,Monday,Cannon Street,6558,5896,City of London
20240219,Monday,Chancery Lane,12094,13056,City of London
20240219,Monday,Liverpool Street,80466,82369,City of London
20240219,Monday,Mansion House,6642,7085,City of London
20240219,Monday,Monument,13090,12209,City of London
20240219,Monday,Moorgate,34805,37577,City of London
20240220,Tuesday,Aldgate,12352,14094,City of London
20240220,Tuesday,Bank,61723,63741,City of London
20240220,Tuesday,Barbican,9635,10086,City of London
20240220,Tuesday,Blackfriars,19378,18442,City of London
