Date,NO_weighted_value(ug m-3)
2019-09-18,7.5
2019-09-19,19.0
2019-09-20,35.53161101757893
2019-09-21,21.821556473786636
2019-09-22,8.517997733301943
2019-09-23,10.6
2019-09-25,3.589753127654751
2019-09-26,5.8
2019-09-27,5.049653785879056
2019-09-28,0.0
2019-09-29,0.0
2019-09-30,20.7
2019-10-01,5.7
2019-10-02,35.94349854377129
2019-10-03,28.702846042120953
2019-10-04,9.543733232766183
2019-10-05,27.012287794268758
2019-10-06,12.7
2019-10-07,12.308236221771542
2019-10-08,3.8268921099330786
2019-10-09,3.7
2019-10-10,4.1917061619857545
2019-10-11,0.0
2019-10-12,2.696594566970623
2019-10-13,8.089720352372888
2019-10-14,62.2
2019-10-15,15.37681600781973
2019-10-16,15.463935576477644
2019-10-17,24.16046055925958
2019-10-18,2.9
2019-10-19,14.1
2019-10-20,19.38228526896922
2019-10-21,38.5
2019-10-22,55.17047433636766
2019-10-23,119.6
2019-10-24,52.06461403661509
2019-10-25,6.705271371616479
2019-10-26,10.0
2019-10-27,8.0
2019-10-28,74.2
2019-10-29,30.704609328205507
2019-10-30,28.08921228591572
2019-10-31,52.6
2019-11-01,25.8
2019-11-02,0.0
2019-11-03,12.129902604383403
2019-11-04,96.9
2019-11-05,35.81064773266563
2019-11-06,37.650163944145646
2019-11-07,14.818562576958659
2019-11-08,81.7
2019-11-09,36.56903774364844
2019-11-10,32.4
2019-11-11,0.0
2019-11-12,2.5
2019-11-13,16.3
2019-11-14,25.367611221654936
2019-11-15,23.47284619477274
2019-11-16,30.5262414431323
2019-11-17,104.5
2019-11-18,56.3
2019-11-19,146.39999
2019-11-20,47.1
2019-11-21,72.8
2019-11-22,21.048965745704972
2019-11-23,62.8
2019-11-24,46.520200550059144
2019-11-25,67.3
2019-11-26,2.9
2019-11-27,17.613376496995798
2019-11-28,17.442517100348677
2019-11-29,58.54697085068716
2019-11-30,94.73876396778968
2019-12-01,19.053904008705587
2019-12-02,63.8
2019-12-03,57.5
2019-12-04,138.89999
2019-12-05,35.53214495591327
2019-12-06,0.7
2019-12-07,2.7
2019-12-08,1.2
2019-12-09,15.267253486893718
2019-12-10,9.259540501693152
2019-12-11,6.1
2019-12-12,43.7
2019-12-13,9.1
2019-12-14,2.049990591277324
2019-12-15,1.5
2019-12-16,25.0
2019-12-17,45.8
2019-12-18,37.0
2019-12-19,3.5
2019-12-24,3.5
2019-12-25,30.022873120290896
2019-12-26,12.4
2019-12-27,45.18320014339689
2019-12-28,27.505597066105825
2019-12-29,7.0
2019-12-30,28.8
2019-12-31,16.5
2020-01-01,35.36874130448248
2020-01-02,3.5
2020-01-03,21.937904792492493
2020-01-04,4.7
2020-01-05,1.8
2020-01-06,2.6
2020-01-07,10.83325268890681
2020-01-08,6.6
2020-01-09,0.0
2020-01-10,20.3
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,2.6
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,2.1
2020-01-17,3.9
2020-01-18,31.5
2020-01-19,64.4
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,76.3
2020-01-23,55.435327953946896
2020-01-24,31.7
2020-01-25,22.53922267640378
2020-01-26,4.82405171607358
2020-01-27,3.6
2020-01-28,3.649245227019086
2020-01-31,9.5
2020-02-01,0.0
2020-02-02,2.5
2020-02-03,5.7
2020-02-04,4.2
2020-02-05,31.3
2020-02-06,58.9
2020-02-07,54.17991683661535
2020-02-08,2.6
2020-02-09,0.0
2020-02-10,2.5
2020-02-11,2.9
2020-02-12,5.5
2020-02-13,6.390952625181966
2020-02-14,22.332715808374097
2020-02-15,3.0
2020-02-16,1.9932417142091994
2020-02-17,2.573312177576344
2020-02-18,4.3
2020-02-19,10.9
2020-02-20,4.2942417342487245
2020-02-21,2.1
2020-02-22,0.0
2020-02-23,3.475223748249607
2020-02-24,3.1
2020-02-25,6.5
2020-02-26,5.11466688741605
2020-02-27,6.3
2020-02-28,8.739212595619076
2020-02-29,4.5
2020-03-01,2.5
2020-03-02,27.7
2020-03-03,10.009853877179514
2020-03-04,23.2
2020-03-05,27.6
2020-03-06,49.713842800454344
2020-03-07,6.734478068695937
2020-03-08,0.0
2020-03-09,4.6
2020-03-10,0.0
2020-03-11,2.6
2020-03-12,3.4415843918464684
2020-03-13,6.8
2020-03-14,3.6
2020-03-15,4.0
2020-03-21,11.66899338748582
2020-03-22,7.384590572453898
2020-03-23,23.43336046716782
2020-03-24,14.963070406140062
2020-03-25,36.8259322146499
2020-03-26,12.574654800649208
2020-03-27,2.4
2020-03-28,5.7
2020-03-29,2.125546627303377
2020-03-30,2.2
2020-03-31,14.4
2020-04-01,12.462607894260088
2020-04-02,0.0
2020-04-03,3.5211915354373593
2020-04-04,5.0241802236287665
2020-04-05,2.1
2020-04-06,3.2
2020-04-07,24.699267081889154
2020-04-08,20.380207205749027
2020-04-09,18.193602813635643
2020-04-10,13.1
2020-04-11,15.705090897287938
2020-04-12,4.0
2020-04-13,4.3863546209839015
2020-04-14,14.0
2020-04-15,14.260185662597525
2020-04-16,16.77510964798711
2020-04-17,11.4
2020-04-18,2.0
2020-04-19,5.692973046877166
2020-04-20,13.6
2020-04-21,12.8
2020-04-22,14.580925919681183
2020-04-23,18.6731215599999
2020-04-24,19.9
2020-04-25,8.2
2020-04-26,5.645616640595427
2020-04-27,9.9
2020-05-20,7.135070475259961
2020-05-21,7.1
2020-05-22,2.0
2020-05-23,1.017390258013718
2020-05-24,6.5
2020-05-25,2.2439635258615356
2020-05-26,1.6
2020-05-27,21.7
2020-05-28,15.936233274985645
2020-05-29,11.138435440952883
2020-05-30,12.0
2020-05-31,5.904523713105583
2020-06-01,18.225375963922772
2020-06-02,21.9
2020-06-03,23.487493923431618
2020-06-04,16.4
2020-06-05,8.449857280672697
2020-06-06,3.0
2020-06-07,9.478140809424856
2020-06-08,8.061823295089663
2020-06-09,15.143674625595633
2020-06-10,8.831310494144773
2020-06-11,19.4
2020-06-12,20.2
2020-06-13,11.29173339680678
2020-06-14,2.5
2020-06-15,5.8
