Date,NO_weighted_value(ug m-3)
2020/5/11,3.1
2020/5/12,4.9
2020/5/13,2.7
2020/5/14,3.7
2020/5/15,4.2
2020/5/16,9.9
2020/5/17,11.1
2020/5/18,12.9
2020/5/19,12.7
2020/5/20,4.3
2020/5/21,4.3
2020/5/22,1.4
2020/5/23,6.1
2020/5/24,7.3
2020/5/25,3
2020/5/26,5.3
2020/5/27,3.4
2020/5/28,4.4
2020/5/29,4.3
2020/5/30,2.5
2020/5/31,2.5
2020/6/1,3
2020/6/2,2.8
2020/6/3,2.3
2020/6/4,12.5
2020/6/5,31.3
2020/6/6,19.6
2020/6/7,22.7
2020/6/8,2.8
2020/6/9,2.5
2020/6/10,1.3
2020/6/11,3.3
2020/6/12,5.2
2020/6/13,3.2
2020/6/14,1.8
2020/6/15,5.3
2020/6/16,1.4
2020/6/17,3.5
2020/6/18,2.5
2020/6/19,1.2
2020/6/20,1.2
2020/6/21,9.6
2020/6/22,2.4
2020/6/23,2.3
2020/6/24,3.9
2020/6/25,2.7
2020/6/26,1
2020/6/27,0.9
2020/6/28,1
2020/6/29,2.8
2020/6/30,2.5
2020/7/1,2.1
2020/7/2,6.7
2020/7/3,2.5
2020/7/4,1.5
2020/7/5,2.4
2020/7/6,6.7
2020/7/7,5.6
2020/7/8,6.6
2020/7/9,3.4
2020/7/10,6.8
2020/7/11,7.3
2020/7/12,3
2020/7/13,4.6
2020/7/14,5
2020/7/15,11.9
2020/7/16,7.7
2020/7/17,8.4
2020/7/18,6.1
2020/7/19,4.3
2020/7/20,3.5
2020/7/21,2.6
2020/7/22,1.4
2020/7/23,1.4
2020/7/24,1.975
2020/7/25,3.425
2020/7/26,3.125
2020/7/27,2.075
2020/7/28,5
2020/7/29,4.1
2020/7/30,2.5
2020/7/31,3.3
2020/8/1,1.4
2020/8/2,1.6
2020/8/3,3.5999999999999996
2020/8/4,3.175
2020/8/5,1.9
2020/8/6,1.6
2020/8/7,9.4
2020/8/8,7.5
2020/8/9,1.4
