Date,NO_weighted_value(ug m-3)
2019-09-20,7.1
2019-09-21,2.8
2019-09-22,1.8
2019-09-23,1.7
2019-09-24,6.1
2019-09-25,2.8
2019-09-26,2.0
2019-09-27,2.0
2019-09-28,1.2
2019-09-29,1.0
2019-09-30,5.3
2019-10-01,3.2
2019-10-02,6.5
2019-10-03,37.9
2019-10-04,13.7
2019-10-05,2.3
2019-10-06,1.5
2019-10-07,5.6
2019-10-08,3.5
2019-10-09,2.9
2019-10-10,4.0
2019-10-11,1.6
2019-10-12,2.9
2019-10-13,1.3
2019-10-14,10.0
2019-10-15,3.4
2019-10-16,21.5
2019-10-17,7.2
2019-10-18,1.4
2019-10-19,10.7
2019-10-20,9.2
2019-10-21,1.4
2019-10-22,53.8
2019-10-23,65.6
2019-10-24,21.7
2019-10-25,2.9
2019-10-26,0.2
2019-10-27,6.8
2019-10-28,13.4
2019-10-29,2.3
2019-10-30,4.7
2019-10-31,13.1
2019-11-01,15.2
2019-11-02,1.2
2019-11-03,5.7
2019-11-04,25.4
2019-11-05,8.5
2019-11-06,11.0
2019-11-07,8.6
2019-11-08,52.8
2019-11-09,12.1
2019-11-10,22.3
2019-11-11,5.1
2019-11-12,4.4
2019-11-13,8.0
2019-11-14,6.9
2019-11-15,3.3
2019-11-16,17.1
2019-11-17,69.5
2019-11-18,6.0
2019-11-19,103.7
2019-11-20,17.5
2019-11-21,7.4
2019-11-22,4.3
2019-11-23,7.1
2019-11-24,24.7
2019-11-25,3.5
2019-11-26,2.8
2019-11-27,5.3
2019-11-28,6.7
2019-11-29,33.2
2019-11-30,39.6
2019-12-01,2.9
2019-12-02,27.3
2019-12-03,10.040000000000001
2019-12-04,14.52
2019-12-05,4.48
2019-12-06,9.440000000000001
2019-12-07,4.94
2019-12-08,11.28
2019-12-09,7.519999999999999
2019-12-10,10.86
2019-12-11,35.36
2019-12-12,3.8600000000000003
2019-12-13,10.48
2019-12-14,10.86
2019-12-15,6.540000000000001
2019-12-16,14.780000000000001
2019-12-17,23.82
2019-12-18,1.72
2019-12-19,1.8
2019-12-20,5.3
2019-12-21,1.9
2019-12-22,2.1
2019-12-23,2.7
2019-12-24,1.7
2019-12-25,33.4
2019-12-26,9.6
2019-12-27,23.5
2019-12-28,9.2
2019-12-29,5.7
2019-12-30,11.0
2019-12-31,9.5
2020-01-01,18.4
2020-01-02,1.6
