Date,NO_weighted_value(ug m-3)
2019-12-20,51.8
2019-12-21,15.7
2019-12-22,30.6
2019-12-23,38.7
2019-12-24,26.0
2019-12-25,29.4
2019-12-26,20.1
2019-12-27,58.8
2019-12-28,28.1
2019-12-29,34.6
2019-12-30,74.8
2019-12-31,25.8
2020-01-01,35.9
2020-01-02,21.8
2020-01-03,27.5
2020-01-04,38.1
2020-01-05,33.4
2020-01-06,26.9
2020-01-07,28.7
2020-01-08,37.1
2020-01-09,23.9
2020-01-10,33.6
2020-01-11,15.5
2020-01-12,20.4
2020-01-13,12.4
2020-01-14,10.3
2020-01-15,33.7
2020-01-16,10.5
2020-01-17,41.9
2020-01-18,46.9
2020-01-19,68.9
2020-01-20,125.3
2020-01-21,137.3
2020-01-22,115.3
2020-01-23,32.7
2020-01-24,60.8
2020-01-25,21.7
2020-01-26,17.1
2020-01-27,27.7
2020-01-28,27.8
2020-01-29,40.0
2020-01-30,85.2
2020-01-31,24.4
2020-02-01,19.9
2020-02-02,24.8
2020-02-03,23.8
2020-02-04,21.0
2020-02-05,80.3
2020-02-06,74.0
2020-02-07,28.4
2020-02-08,27.6
2020-02-09,10.9
2020-02-10,23.4
2020-02-11,23.5
2020-02-12,37.9
2020-02-13,26.1
2020-02-14,31.7
2020-02-15,11.2
2020-02-16,19.8
2020-02-17,26.4
2020-02-18,32.1
2020-02-19,41.9
2020-02-20,23.9
2020-02-21,31.4
2020-02-22,21.6
2020-02-23,22.0
2020-02-24,25.9
2020-02-25,29.0
2020-02-26,26.8
2020-02-27,33.4
2020-02-28,22.3
2020-02-29,17.0
2020-03-01,26.9
2020-03-02,36.2
2020-03-03,46.5
2020-03-04,23.9
2020-03-05,31.0
2020-03-06,50.6
2020-03-07,33.0
2020-03-08,24.3
2020-03-09,23.1
2020-03-10,25.3
2020-03-11,25.0
2020-03-12,25.9
2020-03-13,28.2
2020-03-14,16.3
2020-03-15,14.9
2020-03-16,31.7
2020-03-17,20.7
2020-03-18,18.2
2020-03-19,12.2
2020-03-20,6.9
2020-03-21,4.2
2020-03-22,4.0
2020-03-23,11.8
2020-03-24,9.6
2020-03-25,8.5
2020-03-26,6.1
2020-03-27,6.6
2020-03-28,5.3
2020-03-29,5.1
2020-03-30,9.1
2020-03-31,5.0
2020-04-01,16.8
2020-04-02,6.3
2020-04-03,10.1
2020-04-04,5.9
2020-04-05,3.3
2020-04-06,4.7
2020-04-07,9.7
2020-04-08,6.0
2020-04-09,8.0
2020-04-10,4.4
2020-04-11,7.9
2020-04-12,4.0
2020-04-13,3.0
2020-04-14,3.9
2020-04-15,4.2
2020-04-16,7.9
2020-04-17,2.6
2020-04-18,4.6
2020-04-19,4.1
2020-04-20,2.9
2020-04-21,2.5
2020-04-22,3.7
2020-04-23,5.6
2020-04-24,5.4
2020-04-25,1.6
2020-04-26,3.1
2020-04-27,16.0
2020-04-28,31.65
2020-04-29,27.400000000000002
2020-04-30,26.35
2020-05-01,30.35
2020-05-02,25.85
2020-05-03,43.75
2020-05-04,33.7
2020-05-05,21.450000000000003
2020-05-06,16.8
2020-05-07,19.4
2020-05-08,38.1
2020-05-09,42.75
2020-05-10,35.7
2020-05-11,21.35
2020-05-12,30.150000000000002
2020-05-13,25.549999999999997
2020-05-14,31.7
2020-05-15,26.75
2020-05-16,29.05
2020-05-17,29.1
2020-05-18,35.6
2020-05-19,25.6
2020-05-20,26.049999999999997
2020-05-21,35.55
2020-05-22,41.5
2020-05-23,42.150000000000006
2020-05-24,51.75
2020-05-25,36.8
2020-05-26,16.3
2020-05-27,15.65
2020-05-28,29.3
2020-05-29,37.6
2020-05-30,29.85
2020-05-31,29.45
2020-06-01,29.200000000000003
2020-06-02,25.15
2020-06-03,23.1
2020-06-04,27.3
2020-06-05,28.25
2020-06-06,23.15
2020-06-07,17.549999999999997
2020-06-08,22.9
2020-06-09,16.95
2020-06-10,28.45
2020-06-11,18.549999999999997
2020-06-12,41.849999999999994
2020-06-13,27.4
2020-06-14,20.05
2020-06-15,26.35
2020-06-16,21.5
2020-06-17,26.15
2020-06-18,27.75
2020-06-19,41.05
2020-06-20,36.65
2020-06-21,34.2
2020-06-22,21.75
2020-06-23,16.599999999999998
2020-06-24,20.3
2020-06-25,35.0
2020-06-26,17.25
2020-06-27,10.950000000000001
2020-06-28,14.4
2020-06-29,17.5
2020-06-30,12.05
2020-07-01,16.85
2020-07-02,27.6
2020-07-03,14.2
2020-07-04,18.549999999999997
2020-07-05,32.1
2020-07-06,33.15
2020-07-07,15.5
2020-07-08,17.0
2020-07-09,27.9
2020-07-10,37.05
2020-07-11,37.15
2020-07-12,25.95
2020-07-13,22.2
2020-07-14,18.05
2020-07-15,25.75
2020-07-16,36.5
2020-07-17,51.6
2020-07-18,35.6
2020-07-19,25.2
2020-07-20,21.0
2020-07-21,26.0
2020-07-22,31.75
2020-07-23,27.75
2020-07-24,33.8
2020-07-25,23.95
2020-07-26,31.35
2020-07-27,32.7
2020-07-28,19.65
2020-07-29,16.35
2020-07-30,19.75
2020-07-31,31.5
2020-08-01,31.6
2020-08-02,36.4
2020-08-03,23.75
2020-08-04,20.0
2020-08-05,22.2
2020-08-06,31.55
2020-08-07,39.2
2020-08-08,31.8
2020-08-09,36.3
2020-08-10,38.05
2020-08-11,30.0
2020-08-12,32.05
2020-08-13,36.8
2020-08-14,20.0
2020-08-15,23.9
2020-08-16,29.8
2020-08-17,35.5
2020-08-18,32.1
2020-08-19,27.85
2020-08-20,35.25
2020-08-21,31.0
2020-08-22,42.65
2020-08-23,28.95
2020-08-24,20.6
2020-08-25,23.55
2020-08-26,21.35
2020-08-27,23.45
2020-08-28,30.3
2020-08-29,35.4
2020-08-30,34.85
2020-08-31,28.950000000000003
2020-09-01,21.15
2020-09-02,24.200000000000003
2020-09-03,35.35
2020-09-04,33.8
2020-09-05,37.9
2020-09-06,38.0
2020-09-07,32.35
2020-09-08,31.9
2020-09-09,18.15
2020-09-10,39.25
2020-09-11,34.0
2020-09-12,45.85
2020-09-13,54.300000000000004
2020-09-14,44.85
2020-09-15,33.65
2020-09-16,30.3
2020-09-17,22.35
2020-09-18,24.6
2020-09-19,29.299999999999997
2020-09-20,14.0
2020-09-21,17.3
2020-09-22,23.15
2020-09-23,27.3
2020-09-24,47.599999999999994
2020-09-25,57.45
2020-09-26,48.300000000000004
2020-09-27,47.85
2020-09-28,28.2
2020-09-29,36.9
2020-09-30,33.7
2020-10-01,35.25
2020-10-02,33.349999999999994
2020-10-03,49.4
2020-10-04,50.05
2020-10-05,32.05
2020-10-06,30.849999999999998
2020-10-07,42.95
2020-10-08,51.45
2020-10-09,38.45
2020-10-10,31.9
2020-10-11,17.200000000000003
2020-10-12,20.05
2020-10-13,14.9
2020-10-14,23.6
2020-10-15,38.1
2020-10-16,34.75
2020-10-17,39.7
2020-10-18,29.6
2020-10-19,64.55
2020-10-20,76.3
2020-10-21,38.85
2020-10-22,64.9
2020-10-23,44.35
2020-10-24,61.35
2020-10-25,35.05
2020-10-26,25.0
2020-10-27,36.5
2020-10-28,45.35
2020-10-29,34.55
2020-10-30,25.4
2020-10-31,34.0
2020-11-01,49.0
2020-11-02,58.35
2020-11-03,33.05
2020-11-04,26.55
2020-11-05,62.150000000000006
2020-11-06,39.95
2020-11-07,29.5
2020-11-08,45.8
2020-11-09,23.2
2020-11-10,30.700000000000003
2020-11-11,31.200000000000003
2020-11-12,29.700000000000003
2020-11-13,42.05
2020-11-14,28.8
2020-11-15,40.8
2020-11-16,37.75
2020-11-17,58.15
2020-11-18,34.25
2020-11-19,48.949999999999996
2020-11-20,28.4
2020-11-21,35.650000000000006
2020-11-22,64.75
2020-11-23,28.85
2020-11-24,35.4
2020-11-25,24.15
2020-11-26,44.45
2020-11-27,39.25
2020-11-28,28.0
2020-11-29,40.4
2020-11-30,52.400000000000006
2020-12-01,28.95
2020-12-02,62.75
2020-12-03,56.400000000000006
2020-12-04,98.15
2020-12-05,63.099999999999994
2020-12-06,38.95
2020-12-07,34.85
2020-12-08,24.5
2020-12-09,27.2
2020-12-10,32.8
2020-12-11,67.05
2020-12-12,27.5
2020-12-13,31.25
2020-12-14,39.65
2020-12-15,22.5
2020-12-16,39.85
2020-12-17,58.9
2020-12-18,18.7
2020-12-19,22.4
2020-12-20,48.2
2020-12-21,23.1
2020-12-22,40.45
2020-12-23,37.900000000000006
2020-12-24,37.5
2020-12-25,32.3
2020-12-26,32.2
2020-12-27,117.80000000000001
2020-12-28,76.25
2020-12-29,41.0
2020-12-30,56.7
2020-12-31,23.65
2021-01-01,28.799999999999997
2021-01-02,32.4
2021-01-03,35.9
2021-01-04,47.95
2021-01-05,33.849999999999994
2021-01-06,30.349999999999998
2021-01-07,34.45
2021-01-08,32.2
2021-01-09,31.95
2021-01-10,59.95
2021-01-11,34.75
2021-01-12,22.45
2021-01-13,13.0
2021-01-14,16.35
2021-01-15,44.75
2021-01-16,20.75
2021-01-17,37.5
2021-01-18,46.0
2021-01-19,45.5
2021-01-20,90.05
2021-01-21,127.80000000000001
2021-01-22,85.15
2021-01-23,48.6
2021-01-24,101.15
2021-01-25,46.45
2021-01-26,23.75
2021-01-27,19.55
2021-01-28,35.8
2021-01-29,42.8
2021-01-30,85.2
2021-01-31,52.650000000000006
2021-02-01,26.099999999999998
2021-02-02,30.4
2021-02-03,38.25
2021-02-04,42.25
2021-02-05,58.3
2021-02-06,63.5
2021-02-07,30.599999999999998
2021-02-08,21.85
2021-02-09,15.399999999999999
2021-02-10,22.799999999999997
2021-02-11,38.05
2021-02-12,50.8
2021-02-13,30.85
2021-02-14,44.8
2021-02-15,41.15
2021-02-16,30.15
2021-02-17,24.549999999999997
2021-02-18,37.6
2021-02-19,57.46666666666667
2021-02-20,40.733333333333334
2021-02-21,46.9
2021-02-22,28.866666666666664
2021-02-23,24.333333333333332
2021-02-24,31.099999999999998
2021-02-25,40.43333333333333
2021-02-26,52.56666666666666
2021-02-27,66.89999999999999
2021-02-28,27.166666666666668
2021-03-01,21.7
2021-03-02,22.0
2021-03-03,24.566666666666666
2021-03-04,28.5
2021-03-05,27.733333333333334
2021-03-06,37.266666666666666
2021-03-07,38.6
2021-03-08,39.06666666666667
2021-03-09,21.700000000000003
2021-03-10,21.200000000000003
2021-03-11,23.15
2021-03-12,26.549999999999997
2021-03-13,31.099999999999998
2021-03-14,18.133333333333333
2021-03-15,17.1
2021-03-16,28.433333333333334
2021-03-17,17.433333333333334
2021-03-18,23.566666666666666
2021-03-19,26.633333333333336
2021-03-20,37.699999999999996
2021-03-21,39.93333333333333
2021-03-22,30.899999999999995
2021-03-23,18.3
2021-03-24,18.866666666666667
2021-03-25,29.866666666666664
2021-03-26,37.9
2021-03-27,25.366666666666664
2021-03-28,31.633333333333336
2021-03-29,24.599999999999998
2021-03-30,28.433333333333334
2021-03-31,17.2
2021-04-01,18.033333333333335
2021-04-02,22.233333333333334
2021-04-03,22.400000000000002
2021-04-04,10.966666666666667
2021-04-05,13.799999999999999
2021-04-06,10.4
2021-04-07,21.96666666666667
2021-04-08,36.43333333333333
2021-04-09,20.266666666666666
2021-04-10,12.933333333333332
2021-04-11,31.866666666666664
2021-04-12,30.400000000000002
2021-04-13,24.7
2021-04-14,13.4
2021-04-15,10.5
2021-04-16,21.766666666666666
2021-04-17,16.15
2021-04-18,9.2
2021-04-19,19.0
2021-04-20,20.96666666666667
